mass_1,mass_2,chi_1,chi_2,luminosity_distance,dec,ra,theta_jn,psi,phase,geocent_time,log_likelihood,log_prior,log_likelihood_eob
32.301656369583725,31.24181063241001,-0.784278388026523,-0.46969410121240934,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.90698569752199,-7.8601850574721635,-35956.41306805637
44.12257474205607,34.219244876799344,0.45467591640168165,-0.6580506594675641,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.90929321780981,-7.8601850574721635,-36873.80134170507
48.41475675183722,38.08268281946998,0.23352707288257032,0.5172731553336893,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.951638302135365,-7.8601850574721635,-36689.64852821945
39.895829937339784,32.838094815146846,-0.4181667720031165,0.3994007977696149,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,34.98078906703491,-7.8601850574721635,-36667.94455408714
49.15212175666685,31.236006501477014,0.10490425180797239,-0.11356248897716467,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.0173064535733,-7.8601850574721635,-36749.794891137455
36.82737985970487,35.8258243039585,0.4713266873032039,-0.5539579934632635,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.02307704846066,-7.8601850574721635,-36669.46526316733
50.38793341003702,35.5137881021967,0.32734359424850923,0.17978860946282246,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.09306791895693,-7.8601850574721635,-37268.625752770095
40.51404702275447,32.204620421940646,0.28758802532732464,-0.5005401149444674,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.1160953538145,-7.8601850574721635,-36677.72927048498
49.68183888128121,32.124228158153045,-0.0659624686886209,0.41537320673506783,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.13236039359212,-7.8601850574721635,-36854.0918754529
36.99103303735153,35.58795456048866,-0.7350872816138747,0.6725009967582719,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.138247028093375,-7.8601850574721635,-36678.39212921196
43.04031416799843,40.741840685988485,-0.19368940310405347,0.7277397091199206,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.14430067787269,-7.8601850574721635,-37391.73804634434
42.385604929403286,31.985759564954495,-0.21167922853822993,0.3734975906040813,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.14703767717793,-7.8601850574721635,-36649.56759945621
49.560674566652224,35.91827532515598,0.3642034195673309,0.09992388076513108,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.17104249197617,-7.8601850574721635,-36965.04316028456
46.68532453542167,37.86300419531082,0.455248434728309,-0.04084581413192637,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.176148054396535,-7.8601850574721635,-36981.63430138247
43.83946479572792,38.98327216895772,-0.0978969337484688,0.5051283249781742,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.19589299848712,-7.8601850574721635,-36985.41534419018
46.35971472902235,36.282416058656274,0.04208129007606358,0.33123111756145596,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.20911247829194,-7.8601850574721635,-37125.746973481
49.79357470564629,35.20515344173737,0.6209303121356561,-0.374326340758649,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.25299900151947,-7.8601850574721635,-37010.15244025247
56.24547704816599,32.00868470742648,0.2734719074635883,0.4810106479613866,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.281646941113394,-7.8601850574721635,-36869.84907757816
53.69961083357205,31.731065219842126,0.11393762540031212,0.47359566303304057,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.28747780550936,-7.8601850574721635,-36822.33257554901
40.35246092332268,39.54535537739521,-0.18737562290170776,0.3757192881859938,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.30376574393514,-7.8601850574721635,-36961.80388466495
33.85895064121662,32.435038454047806,-0.16615210365840277,-0.689695880566744,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.33487644923593,-7.8601850574721635,-36186.71180983957
41.41045375303595,40.3376808665536,0.5237375812018754,-0.2067986793324483,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.36874705132205,-7.8601850574721635,-37138.64341235724
46.662501416904824,37.18799507850889,0.33390816199120876,0.1176424671171406,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.381173587196926,-7.8601850574721635,-37353.61390828867
45.50876447881426,38.25541529542095,0.3645184337786068,0.07435012952386713,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.395393678636694,-7.8601850574721635,-37392.42668577193
49.14259157309776,34.667095785354924,0.40725878090881995,-0.14705224483754512,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.39759453343591,-7.8601850574721635,-36803.658844948186
42.008356297266744,36.941556865597065,0.05261366777409202,-0.019560658683627732,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.40751203019934,-7.8601850574721635,-37027.59387133251
38.10013226131743,32.96222303519254,0.28354244446312127,-0.5855122131497122,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.42646079117541,-7.8601850574721635,-36588.77371386158
37.35438864446008,34.42999291562815,-0.06536155837559501,-0.08952944838576571,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.44224053378592,-7.8601850574721635,-36639.20270776612
53.908568436252125,33.64801773476414,0.57519856681852,-0.11127570082382066,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.4634669517782,-7.8601850574721635,-36783.36125104855
45.408261214519705,35.40271440533717,-0.3765222212162061,0.7172357326911414,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.48261801588271,-7.8601850574721635,-37052.85577294098
54.02871001259215,32.766531536132426,0.6485786431701998,-0.4016102115300629,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.48546840410816,-7.8601850574721635,-36853.60002284951
44.75196992487145,39.556368212047595,0.5824660703407606,-0.15555325339383036,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.488217240162754,-7.8601850574721635,-37022.62129209808
36.42411327175617,30.494631275496104,-0.18425495578508194,-0.6852869938744476,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.49114086901845,-7.8601850574721635,-36302.50429911554
50.5984148070641,35.251461915086026,0.10895453242063821,0.5557217252989731,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.49386142677031,-7.8601850574721635,-37107.09691990829
38.99608451979792,32.14602417963273,0.29596893236268945,-0.683878947089158,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.500547727221196,-7.8601850574721635,-36558.33702853741
52.1288771133414,33.14310860804231,0.446822127567541,-0.17347615639838176,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.50380141595441,-7.8601850574721635,-37190.684665862405
51.9249178107835,33.94874509409211,0.08371912653268801,0.6140154811620988,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.52229888680252,-7.8601850574721635,-36676.54980060285
43.214434631393374,37.72445856618284,0.4337791429137122,-0.3204601201639051,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,35.530113516619835,-7.8601850574721635,-37206.81374350757
