mass_1,mass_2,spin_1z,spin_2z,luminosity_distance,theta_jn,phase,geocent_time,ra,dec,psi,log_likelihood,log_prior
39.52637855951796,30.17171489719761,-0.16203107917645976,-0.02113764446154589,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.4290613741052,-8.553332238032109
31.075382929870685,38.2156460739758,-0.7893066476865997,0.5213548586461088,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.4458191747159,-8.553332238032109
37.49596106608835,31.451745609855674,-0.12311135447177064,0.02588497858950791,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.5421280377725,-8.553332238032109
33.83215023325032,33.62139584472135,-0.08047745529279282,0.21830299498042827,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.5448874657028,-8.553332238032109
39.49112596860647,30.87271785502178,-0.11361214608737419,-0.26210596788069457,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.552873044882,-8.553332238032109
37.77930059944279,30.962228187758992,-0.11163718340501988,0.23870091099842866,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.5548293921665,-8.553332238032109
34.144660911239335,35.57161773272758,0.3003165181088353,-0.4082282338999553,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.6247489554975,-8.553332238032109
35.66913230974073,33.80334153012422,0.49660566938945094,-0.6461563200254989,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.69307837186,-8.553332238032109
34.98860693579176,32.134514176783995,0.5498464176981481,-0.2756519539423723,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.778705643807,-8.553332238032109
33.58521089575361,33.943322880489625,0.44426429333014805,-0.14412124405202878,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.8493432930973,-8.553332238032109
30.78027786392872,38.1550354414868,-0.7958691670354534,0.49588701258443035,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.8518696951579,-8.553332238032109
36.788978190993106,30.98287796174978,-0.21678442724250685,0.5175761144868901,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.8755174052566,-8.553332238032109
38.182141462082754,31.50982702123113,-0.11051307718273098,-0.039361388591448304,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.9000879307604,-8.553332238032109
31.718903113680547,36.23313565989818,-0.19983973205700936,0.27564612462148025,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.9161810835083,-8.553332238032109
30.54159406875136,37.35722388516399,-0.3453453676537036,0.3545665965353824,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.9367151358889,-8.553332238032109
35.02287109074605,34.52202563024039,-0.04741815087580732,0.014649197530132309,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.9545480415342,-8.553332238032109
33.72132235136911,35.658292646324504,-0.433932042480844,0.3291968458697108,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,669.9603941314037,-8.553332238032109
32.58091122137559,35.495128440099045,0.018063021561331355,0.12592800027928341,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.0759910426073,-8.553332238032109
35.128314597387075,34.306237295407264,-0.6602919212511871,0.6204960178231413,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.0811284577952,-8.553332238032109
33.11382047607672,35.65641997010616,-0.28602713558755405,0.30242176195146236,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.1165390160495,-8.553332238032109
33.94962283324436,35.11319547173511,0.7826355583581598,-0.7766744610998996,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.1301807098745,-8.553332238032109
36.42229820045371,33.322466148259615,0.034391558145520314,-0.23988719274600798,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.1881882776736,-8.553332238032109
32.97790953119385,35.42312289506902,0.735580307460162,-0.48267038404196705,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.2006651118236,-8.553332238032109
38.88490022768302,30.650032011387854,-0.5426098657883477,0.7311243407521791,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.2292231759633,-8.553332238032109
37.21865428283478,33.0957986401106,-0.6968848014324736,0.5719010327613114,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.2449501011683,-8.553332238032109
38.12156811233836,31.538569951859674,-0.19849789687326053,0.11910845803016765,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.2471510551411,-8.553332238032109
34.53933628510961,33.47763990090981,-0.20873233638825406,0.39992959222472296,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.2680545043233,-8.553332238032109
34.308900212404154,33.896533152806384,0.1778206451800877,-0.017979993030908623,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.2839528276866,-8.553332238032109
38.14682457340833,31.725755861229008,-0.13946842664602674,0.022791046116931793,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.2917565736418,-8.553332238032109
32.828417206754004,35.789646650268516,-0.7148243758166326,0.7024250083455038,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.3174283590959,-8.553332238032109
38.626379177855945,30.00872769880076,0.004065314319464025,0.03527167470685314,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.3712692769527,-8.553332238032109
34.34692618255948,32.48430423634194,0.5957812145261006,-0.31742366495017427,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.3772562402107,-8.553332238032109
31.299097211632706,37.62802984200536,-0.5731851220534689,0.3387673451890866,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.407520795392,-8.553332238032109
33.87399415341177,33.81012858505524,-0.1299270750439202,0.40827364025109475,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.4193633711702,-8.553332238032109
37.85722171758217,30.172971560999564,0.33055598256727786,-0.4183190344338717,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.4301145862776,-8.553332238032109
33.40738045538618,35.31529492670593,-0.5682048692152867,0.5359560768576608,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.446267044756,-8.553332238032109
34.29952593326107,33.724748601918655,-0.33235389760561723,0.5211901336137318,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.4476666638093,-8.553332238032109
34.89883958426494,33.01759145478725,0.45995428227433305,-0.4838374691081454,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.4712447905872,-8.553332238032109
32.945788771802555,34.07491944980277,0.7543266248176127,-0.3598354518111878,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.5031294968467,-8.553332238032109
37.384716575378,31.900619211160166,0.41015375006181765,-0.7912376758328993,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.5211337516661,-8.553332238032109
39.04010341406105,31.301663847855874,0.056038068291579125,-0.5098342533567991,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.5359337173152,-8.553332238032109
35.49911390430328,33.808317538155904,0.5128874191817071,-0.5849261176901913,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.5384213108052,-8.553332238032109
36.38897554551871,31.32922770700301,0.4152501788046411,-0.2883580187945256,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.5691200285924,-8.553332238032109
33.4040962046813,34.95375035769062,-0.27551473442275126,0.4119028366453995,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.5939045993209,-8.553332238032109
32.925996252506735,36.32129916153748,0.4859457950044505,-0.40049082361613636,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.6682592172451,-8.553332238032109
34.270972625619294,33.18794855518359,0.4399241842300406,-0.24442638298326916,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.6807318281985,-8.553332238032109
33.05092482324883,35.76706433629623,-0.15347733795851423,0.12192003943035812,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.7723577253018,-8.553332238032109
32.155974559660145,35.007705871309504,-0.26051486349575065,0.4854351150633495,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.7851488116952,-8.553332238032109
34.40734985258563,35.13755799463911,-0.33944399195839814,0.29847612662847006,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.8147591178985,-8.553332238032109
32.22455197516781,35.513428934574996,0.5942771081391321,-0.3109461088869502,400.0,0.4,1.3,1126259642.413,1.375,-1.2108,2.659,670.8318107471125,-8.553332238032109
